year,month,day,hour,temp,dew_point,sea_level_pressure,wind_dir,wind_speed,coverage,precip_1,precip_6,in_season,temp_converted,sunrise,sunset,is_day,warm_enough,dry,cold_enough,flight_hour,cold_enough,DHBFH,AHBFH,AHBFD,DHBCH,AHBCH,AHBCD
2019,Jan,1,0.0,-56,-156,10190,20,46,6,-9999,0,0.0,21.92,7.51,17.1,0,0,1,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,2,0.0,-70,-150,-9999,340,15,2,0,-9999,0.0,19.4,7.51,17.11,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,3,0.0,-56,-117,10319,330,15,2,0,-9999,0.0,21.92,7.51,17.12,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,4,0.0,-50,-100,10306,290,36,0,0,-9999,0.0,23.0,7.51,17.13,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,5,0.0,-39,-72,10223,290,26,6,0,-9999,0.0,24.98,7.51,17.14,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,6,0.0,-33,-56,10161,250,36,8,0,-9999,0.0,26.06,7.51,17.15,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,7,0.0,22,-11,10110,0,0,6,0,30,0.0,35.96,7.51,17.16,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,8,0.0,6,-6,10239,170,31,8,-1,20,0.0,33.08,7.51,17.17,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,9,0.0,6,-22,10276,270,21,8,0,-9999,0.0,33.08,7.51,17.18,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,10,0.0,17,-17,10212,320,21,6,0,-9999,0.0,35.06,7.51,17.19,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,11,0.0,11,0,10243,300,36,8,-1,-1,0.0,33.98,7.51,17.2,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,12,0.0,11,-6,10252,300,15,8,0,-9999,0.0,33.98,7.5,17.21,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,13,0.0,-6,-33,10254,290,31,8,0,-1,0.0,30.92,7.5,17.22,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,14,0.0,-22,-61,10275,290,46,6,0,-9999,0.0,28.04,7.5,17.23,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,15,0.0,-28,-72,10275,310,41,6,0,-9999,0.0,26.96,7.49,17.24,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,16,0.0,-17,-50,10201,300,21,8,0,-1,0.0,28.94,7.49,17.25,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,17,0.0,61,11,10190,200,36,6,0,-9999,0.0,42.98,7.48,17.26,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,18,0.0,33,-6,10114,180,31,8,5,120,0.0,37.94,7.48,17.28,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,19,0.0,39,-17,10272,0,0,6,0,-1,0.0,39.02,7.47,17.29,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,20,0.0,56,-11,10282,0,0,6,0,-9999,0.0,42.08,7.47,17.3,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,21,0.0,44,11,10113,300,26,6,0,-9999,0.0,39.92,7.46,17.31,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,22,0.0,6,-28,10109,340,113,6,0,3,0.0,33.08,7.45,17.32,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,23,0.0,-17,-89,10325,280,21,6,0,-9999,0.0,28.94,7.45,17.33,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,24,0.0,0,-72,10255,110,26,8,0,-1,0.0,32.0,7.44,17.35,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,25,0.0,39,-28,10264,270,15,8,0,-9999,0.0,39.02,7.43,17.36,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,26,0.0,39,-39,10260,140,26,4,0,-9999,0.0,39.02,7.43,17.37,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,27,0.0,33,-11,10334,270,26,2,0,-9999,0.0,37.94,7.42,17.38,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,28,0.0,56,-33,10221,150,41,6,0,-9999,0.0,42.08,7.41,17.4,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,29,0.0,33,-50,10264,310,46,6,0,-9999,0.0,37.94,7.4,17.41,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,30,0.0,28,-50,10206,300,36,2,0,-9999,0.0,37.04,7.39,17.42,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Jan,31,0.0,44,-28,10178,350,31,6,0,-9999,0.0,39.92,7.38,17.43,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Feb,1,0.0,50,-22,10183,310,46,0,0,-9999,0.0,41.0,7.37,17.44,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Feb,2,0.0,83,-6,10145,320,36,2,0,-9999,0.0,46.94,7.36,17.46,0,0,0,1,,1,0,1631,179,20.0,4425.0,236
2019,Feb,3,0.0,106,-6,10036,170,51,8,0,-9999,0.0,51.08,7.35,17.47,0,0,0,0,,0,0,1631,179,23.0,4425.0,236
2019,Feb,4,0.0,89,-11,10007,180,93,6,0,-9999,0.0,48.02,7.34,17.48,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Feb,5,0.0,94,-17,9972,160,124,6,0,-9999,0.0,48.92,7.33,17.49,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Feb,6,0.0,-6,-17,10026,100,36,8,3,3,0.0,30.92,7.32,17.51,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Feb,7,0.0,-44,-61,10142,310,57,8,3,3,0.0,24.08,7.31,17.52,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Feb,8,0.0,-44,-144,10298,360,31,4,0,-9999,0.0,24.08,7.3,17.53,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
2019,Feb,9,0.0,-28,-94,10183,290,31,6,0,-9999,0.0,26.96,7.29,17.54,0,0,0,1,,1,0,1631,179,24.0,4425.0,236
