accum_day,DHBFH
2017Apr101,1
2017Apr10nan,0
2017Apr11,2
2017Apr111,2
2017Apr11nan,0
2017Apr121,5
2017Apr12nan,0
2017Apr131,12
2017Apr13nan,0
2017Apr14nan,0
2017Apr15nan,0
2017Apr161,3
2017Apr16nan,0
2017Apr171,12
2017Apr17nan,0
2017Apr181,7
2017Apr18nan,0
2017Apr191,2
2017Apr19nan,0
2017Apr1nan,0
2017Apr201,1
2017Apr20nan,0
2017Apr21nan,0
2017Apr221,2
2017Apr22nan,0
2017Apr231,5
2017Apr23nan,0
2017Apr241,1
2017Apr24nan,0
2017Apr25nan,0
2017Apr261,1
2017Apr26nan,0
2017Apr27nan,0
2017Apr28nan,0
2017Apr29nan,0
2017Apr2nan,0
2017Apr301,3
2017Apr30nan,0
2017Apr3nan,0
2017Apr4nan,0
2017Apr5nan,0
2017Apr61,2
2017Apr6nan,0
2017Apr71,11
2017Apr7nan,0
2017Apr8nan,0
2017Apr9nan,0
2017Aug101,12
2017Aug10nan,0
2017Aug11,12
2017Aug111,12
2017Aug11nan,0
2017Aug121,12
2017Aug12nan,0
2017Aug131,12
2017Aug13nan,0
2017Aug141,12
2017Aug14nan,0
2017Aug151,12
2017Aug15nan,0
2017Aug161,12
2017Aug16nan,0
2017Aug171,12
2017Aug17nan,0
2017Aug181,12
2017Aug18nan,0
2017Aug191,12
2017Aug19nan,0
2017Aug1nan,0
2017Aug201,12
2017Aug20nan,0
2017Aug21,12
2017Aug211,12
2017Aug21nan,0
2017Aug221,12
2017Aug22nan,0
2017Aug231,12
2017Aug23nan,0
2017Aug241,12
2017Aug24nan,0
2017Aug251,12
2017Aug25nan,0
2017Aug261,12
2017Aug26nan,0
2017Aug271,12
2017Aug27nan,0
2017Aug281,12
2017Aug28nan,0
2017Aug291,12
2017Aug29nan,0
2017Aug2nan,0
2017Aug301,12
2017Aug30nan,0
2017Aug31,12
2017Aug311,12
2017Aug31nan,0
2017Aug3nan,0
2017Aug41,12
2017Aug4nan,0
2017Aug51,12
2017Aug5nan,0
2017Aug61,12
2017Aug6nan,0
2017Aug71,12
2017Aug7nan,0
2017Aug81,12
2017Aug8nan,0
2017Aug91,12
2017Aug9nan,0
2017Dec10nan,0
2017Dec11nan,0
2017Dec12nan,0
2017Dec13nan,0
2017Dec14nan,0
2017Dec15nan,0
2017Dec16nan,0
2017Dec17nan,0
2017Dec18nan,0
2017Dec19nan,0
2017Dec1nan,0
2017Dec20nan,0
2017Dec21nan,0
2017Dec22nan,0
2017Dec23nan,0
2017Dec24nan,0
2017Dec25nan,0
2017Dec26nan,0
2017Dec27nan,0
2017Dec28nan,0
2017Dec29nan,0
2017Dec2nan,0
2017Dec30nan,0
2017Dec31,4
2017Dec31nan,0
2017Dec3nan,0
2017Dec4nan,0
2017Dec5nan,0
2017Dec6nan,0
2017Dec7nan,0
2017Dec8nan,0
2017Dec9nan,0
2017Feb101,8
2017Feb10nan,0
2017Feb11nan,0
2017Feb12nan,0
2017Feb13nan,0
2017Feb14nan,0
2017Feb15nan,0
2017Feb16nan,0
2017Feb17nan,0
2017Feb18nan,0
2017Feb19nan,0
2017Feb1nan,0
2017Feb20nan,0
2017Feb211,1
2017Feb21nan,0
2017Feb22nan,0
2017Feb23nan,0
2017Feb24nan,0
2017Feb25nan,0
2017Feb26nan,0
2017Feb27nan,0
2017Feb28nan,0
2017Feb2nan,0
2017Feb3nan,0
2017Feb4nan,0
2017Feb5nan,0
2017Feb6nan,0
2017Feb7nan,0
2017Feb8nan,0
2017Feb91,1
2017Feb9nan,0
2017Jan10nan,0
2017Jan11nan,0
2017Jan12nan,0
2017Jan13nan,0
2017Jan14nan,0
2017Jan15nan,0
2017Jan16nan,0
2017Jan17nan,0
2017Jan18nan,0
2017Jan19nan,0
2017Jan1nan,0
2017Jan20nan,0
2017Jan21nan,0
2017Jan22nan,0
2017Jan23nan,0
2017Jan24nan,0
2017Jan25nan,0
2017Jan26nan,0
2017Jan27nan,0
2017Jan28nan,0
2017Jan29nan,0
2017Jan2nan,0
2017Jan30nan,0
2017Jan31nan,0
2017Jan3nan,0
2017Jan4nan,0
2017Jan5nan,0
2017Jan6nan,0
2017Jan7nan,0
2017Jan8nan,0
2017Jan9nan,0
2017Jul101,12
2017Jul10nan,0
2017Jul11,14
2017Jul111,12
2017Jul11nan,0
2017Jul121,12
2017Jul12nan,0
2017Jul131,12
2017Jul13nan,0
2017Jul141,12
2017Jul14nan,0
2017Jul151,12
2017Jul15nan,0
2017Jul161,12
