accum_day,DHBFH
2019Apr101,11
2019Apr10nan,0
2019Apr111,6
2019Apr11nan,0
2019Apr121,11
2019Apr12nan,0
2019Apr131,11
2019Apr13nan,0
2019Apr141,11
2019Apr14nan,0
2019Apr151,11
2019Apr15nan,0
2019Apr161,4
2019Apr16nan,0
2019Apr171,6
2019Apr17nan,0
2019Apr181,11
2019Apr18nan,0
2019Apr191,11
2019Apr19nan,0
2019Apr1nan,0
2019Apr201,8
2019Apr20nan,0
2019Apr211,4
2019Apr21nan,0
2019Apr221,6
2019Apr22nan,0
2019Apr231,7
2019Apr23nan,0
2019Apr241,11
2019Apr24nan,0
2019Apr251,11
2019Apr25nan,0
2019Apr261,11
2019Apr26nan,0
2019Apr271,6
2019Apr27nan,0
2019Apr281,11
2019Apr28nan,0
2019Apr291,8
2019Apr29nan,0
2019Apr2nan,0
2019Apr301,12
2019Apr30nan,0
2019Apr31,4
2019Apr3nan,0
2019Apr41,5
2019Apr4nan,0
2019Apr51,11
2019Apr5nan,0
2019Apr61,5
2019Apr6nan,0
2019Apr71,8
2019Apr7nan,0
2019Apr81,11
2019Apr8nan,0
2019Apr91,11
2019Apr9nan,0
2019Aug101,12
2019Aug10nan,0
2019Aug11,12
2019Aug111,12
2019Aug11nan,0
2019Aug121,12
2019Aug12nan,0
2019Aug131,12
2019Aug13nan,0
2019Aug141,12
2019Aug14nan,0
2019Aug151,12
2019Aug15nan,0
2019Aug161,12
2019Aug16nan,0
2019Aug171,12
2019Aug17nan,0
2019Aug181,12
2019Aug18nan,0
2019Aug191,11
2019Aug19nan,0
2019Aug1nan,0
2019Aug201,11
2019Aug20nan,0
2019Aug21,12
2019Aug211,11
2019Aug21nan,0
2019Aug221,11
2019Aug22nan,0
2019Aug231,11
2019Aug23nan,0
2019Aug241,11
2019Aug24nan,0
2019Aug251,11
2019Aug25nan,0
2019Aug261,11
2019Aug26nan,0
2019Aug271,11
2019Aug27nan,0
2019Aug281,11
2019Aug28nan,0
2019Aug291,11
2019Aug29nan,0
2019Aug2nan,0
2019Aug301,11
2019Aug30nan,0
2019Aug31,12
2019Aug311,11
2019Aug31nan,0
2019Aug3nan,0
2019Aug41,12
2019Aug4nan,0
2019Aug51,12
2019Aug5nan,0
2019Aug61,12
2019Aug6nan,0
2019Aug71,12
2019Aug7nan,0
2019Aug81,12
2019Aug8nan,0
2019Aug91,12
2019Aug9nan,0
2019Dec101,8
2019Dec10nan,0
2019Dec11nan,0
2019Dec12nan,0
2019Dec13nan,0
2019Dec14nan,0
2019Dec15nan,0
2019Dec161,2
2019Dec16nan,0
2019Dec171,8
2019Dec17nan,0
2019Dec18nan,0
2019Dec19nan,0
2019Dec1nan,0
2019Dec20nan,0
2019Dec21nan,0
2019Dec22nan,0
2019Dec23nan,0
2019Dec241,1
2019Dec24nan,0
2019Dec25nan,0
2019Dec261,1
2019Dec26nan,0
2019Dec27nan,0
2019Dec281,2
2019Dec28nan,0
2019Dec291,8
2019Dec29nan,0
2019Dec2nan,0
2019Dec301,8
2019Dec30nan,0
2019Dec31nan,0
2019Dec3nan,0
2019Dec4nan,0
2019Dec5nan,0
2019Dec6nan,0
2019Dec7nan,0
2019Dec8nan,0
2019Dec9nan,0
2019Feb10nan,0
2019Feb11nan,0
2019Feb12nan,0
2019Feb13nan,0
2019Feb14nan,0
2019Feb151,2
2019Feb15nan,0
2019Feb161,3
2019Feb16nan,0
2019Feb17nan,0
2019Feb18nan,0
2019Feb19nan,0
2019Feb1nan,0
2019Feb20nan,0
2019Feb21nan,0
2019Feb22nan,0
2019Feb23nan,0
2019Feb24nan,0
2019Feb25nan,0
2019Feb261,2
2019Feb26nan,0
2019Feb27nan,0
2019Feb281,2
2019Feb28nan,0
2019Feb2nan,0
2019Feb3nan,0
2019Feb41,1
2019Feb4nan,0
2019Feb51,2
2019Feb5nan,0
2019Feb61,3
2019Feb6nan,0
2019Feb71,8
